no	synset_id	name	description	synonym	synonym_id
1	n02672831	accordion	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	organ	n03854065
1	n02672831	accordion	a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player	organ	n03494537
2	n02691156	airplane	an aircraft that has a fixed wing and is powered by propellers or jets	plane	n02691156
2	n02691156	airplane	an aircraft that has a fixed wing and is powered by propellers or jets	jet	n03595860
2	n02691156	airplane	an aircraft that has a fixed wing and is powered by propellers or jets	jet plane
2	n02691156	airplane	an aircraft that has a fixed wing and is powered by propellers or jets	jet airplane
2	n02691156	airplane	an aircraft that has a fixed wing and is powered by propellers or jets	airplane-747
3	n01698434	alligator	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	crocodile	n01697178
3	n01698434	alligator	either of two amphibious reptiles related to crocodiles but with shorter broader snouts	lizard	n01674464
4	n02709367	anchor	a mechanical device that prevents a vessel from moving	ship's anchor
5	n02219486	ant	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	insect	n02159955
5	n02219486	ant	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	spider	n01772222
5	n02219486	ant	social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers	bug	n02236355
6	n07739125	apple	fruit with red or yellow or green skin and sweet to tart crisp whitish flesh	fruit	n13134947
7	n05563770	arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	left arm
7	n05563770	arm	a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb	hand	n05564590
8	n06818121	arrow	a mark to indicate a direction or relation	one-way sign
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	avocado	n07764847
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	pineapple	n07753275
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	bud	n11674914
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	bud	n13165086
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	brussel
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	sprout	n13164583
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	sprout	n07719437
9	n07718747	artichoke	a thistle-like flower head with edible fleshy leaves and heart	squash	n07715561
10	n02747802	ashtray	a receptacle for the ash from smokers' cigars or cigarettes
11	n07719213	asparagus	edible young shoots of the asparagus plant	asparagus spear
11	n07719213	asparagus	edible young shoots of the asparagus plant	branch of willows
11	n07719213	asparagus	edible young shoots of the asparagus plant	twig	n13163991
11	n07719213	asparagus	edible young shoots of the asparagus plant	pine tree
11	n07719213	asparagus	edible young shoots of the asparagus plant	cauliflower	n07715103
11	n07719213	asparagus	edible young shoots of the asparagus plant	branch	n13163250
12	n02764044	axe	an edge tool with a heavy bladed head mounted across a handle	hatchet	n04449966
12	n02764044	axe	an edge tool with a heavy bladed head mounted across a handle	hatchet	n03498962
12	n02764044	axe	an edge tool with a heavy bladed head mounted across a handle	hammer	n03481172
13	n02766534	baby carriage	a small vehicle with four wheels in which a baby or child is pushed around	carriage	n02766534
14	n02778669	ball	round object that is hit or thrown or kicked in games	beach ball
14	n02778669	ball	round object that is hit or thrown or kicked in games	top	n04454240
15	n02782329	balloon	small thin inflatable rubber bag with narrow neck
16	n07753592	banana	elongated crescent-shaped yellow fruit with soft sweet flesh
